no,kota,kode_wilayah,provinsi
485,Kabupaten Tegal,33.28,Jawa Tengah
486,Kota Tegal,33.76,Jawa Tengah
487,Kabupaten Teluk Bintuni,92.06,Papua Barat
488,Kabupaten Teluk Wondama,92.07,Papua Barat
489,Kabupaten Temanggung,33.23,Jawa Tengah
490,Kota Ternate,82.71,Maluku Utara
491,Kota Tidore Kepulauan,82.72,Maluku Utara
492,Kabupaten Timor Tengah Selatan,53.02,Nusa Tenggara Timur (NTT)
493,Kabupaten Timor Tengah Utara,53.03,Nusa Tenggara Timur (NTT)
494,Kabupaten Toba,12.12,Sumatera Utara
495,Kabupaten Tojo Una Una,72.09,Sulawesi Tengah
496,Kabupaten Toli Toli,72.04,Sulawesi Tengah
497,Kabupaten Tolikara,95.04,Papua Pegunungan
498,Kota Tomohon,71.73,Sulawesi Utara
499,Kabupaten Toraja Utara,73.26,Sulawesi Selatan
500,Kabupaten Trenggalek,35.03,Jawa Timur
501,Kota Tual,81.72,Maluku
502,Kabupaten Tuban,35.23,Jawa Timur
503,Kabupaten Tulang Bawang,18.05,Lampung
504,Kabupaten Tulang Bawang Barat,18.12,Lampung
505,Kabupaten Tulungagung,35.04,Jawa Timur
506,Kabupaten Wajo,73.13,Sulawesi Selatan
507,Kabupaten Wakatobi,74.07,Sulawesi Tenggara
508,Kabupaten Waropen,91.15,Papua
509,Kabupaten Way Kanan,18.08,Lampung
510,Kabupaten Wonogiri,33.12,Jawa Tengah
511,Kabupaten Wonosobo,33.07,Jawa Tengah
512,Kabupaten Yahukimo,95.03,Papua Pegunungan
513,Kabupaten Yalimo,95.06,Papua Pegunungan
514,Kota Yogyakarta,34.71,DI Yogyakarta
